Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"parseHeaders",,,,,,,,,,,,,,,,,,,,,,,,,,,27,,27,,4,,4,,23,23,,0,,0,,2,0,19,6,6,,13,13,,2,2,2,1,,,,,1,,8,8,9,4
Function,"parseHeaders.parser",,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,1,,1,,15,15,,0,,0,,4,1,10,1,1,,9,9,,6,6,7,3,,,,,2,,6,6,7,3
Function,"read.read",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,1,0,3,2,2,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"read.read",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"remove.remove",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"remove.remove",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,1,1,1,,0,0,,1,1,1,1,,,,,0,,1,1,1,1
Function,"request",,,,,,,,,,,,,,,,,,,,,,,,,,,39,,39,,7,,7,,28,28,,4,,4,,12,1,22,5,5,,17,17,,5,5,7,1,,,,,2,,7,7,9,3
Function,"request.pushResponseInterceptors",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"request.unshiftRequestInterceptors",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"setContentTypeIfUnset",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,2,0,3,1,1,,2,2,,2,2,3,1,,,,,1,,2,2,3,1
Function,"setProxy",,,,,,,,,,,,,,,,,,,,,,,,,,,18,,18,,2,,2,,14,14,,2,,2,,2,0,12,3,3,,9,9,,2,2,2,1,,,,,1,,3,3,3,2
Function,"setProxy.beforeRedirect",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,1,0,3,1,1,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"settle",,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14,,0,,0,,14,14,,0,,0,,2,0,5,2,2,,3,3,,2,2,4,1,,,,,1,,2,2,4,1
Function,"source",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,0,,0,,10,10,,0,,0,,1,0,6,4,4,,2,2,,1,1,1,1,,,,,0,,2,2,2,2
Function,"source.token.executor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"spread",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,1,0,4,2,2,,2,2,,1,1,1,1,,,,,0,,2,2,2,2
Function,"spread.wrap",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"standardBrowserEnv",,,,,,,,,,,,,,,,,,,,,,,,,,,35,,35,,7,,7,,28,28,,0,,0,,1,0,19,6,6,,13,13,,1,1,1,1,,,,,0,,12,12,12,7
